분류,질문,답변
FAQ,27. SD Card 포맷은 어떻게 하나요?,"Dashcam 메인메뉴에서 포맷하는 방법
메인메뉴 > 시스템설정 > SD카드포맷 > 확인 버튼을 누르면 ""SD Card를 포맷합니다."" 안내 음성 출력 후
SD card 포맷이 시작되며, ""포맷이 완료되었습니다."" 안내 음성 출력 후 Dashcam이 자동으로 재부팅 됩니다.

Dashcam 전원 버튼으로 포맷하는 방법
Dashcam의 전원 버튼을 짧게 6회 반복하여 누르면 ""SD Card를 포맷합니다."" 안내 음성 출력 후 SD card
포맷이 시작되며, ""포맷이 완료되었습니다."" 안내 음성 출력 후 Dashcam이 자동으로 재부팅 됩니다."
FAQ,28. SD Card 용량은 몇 GB까지 지원하나요?,"64GB에서 128GB까지 지원합니다.
(주의) 정품 SD Card가 아닌 경우 품질 보증을 적용 받을 수 없습니다. 정품 SD Card 사용을 권장합니다."
FAQ,"29. ""후방 카메라가 연결되어 있지 않습니다."" 안내 음성이 나옵니다.","후방 카메라 체결 상태 확인
후방 카메라의 케이블을 뺐다가 다시 연결하여 정상작동되는지 확인하십시오.

참고
후방 카메라의 연결 부분은 두 군데입니다. (메인 케이블과 연결부, 후방 카메라 연결부) 설치 후 동작이
안되었다면 두 군데 체결 상태를 확인해야 합니다.


후방 카메라의 케이블을 뺐다가 다시 연결하여도 개선되지 않을 때
후방 카메라를 교체하여 정상작동되는지 확인하십시오.


후방 카메라를 교체하여도 개선되지 않을 때
전방 카메라를 교체하여 정상작동되는지 확인하십시오.


전방 카메라 및 후방 카메라를 모두 교체하여도 개선되지 않을 때
후방 카메라 체결 상태 확인, 후방카메라 및 전방 카메라 모두 교체해도 후방 카메라가 인식되지 않는다면 케이블 문제로 추정됩니다."
FAQ,"30. ""후방 카메라가 연결되어 있지 않습니다."" 안내 음성이 출력됩니다.","ACC ON 상태
후방 카메라의 Safety LED를 확인하십시오. Safety LED가 꺼져 있다면 후방 카메라의 케이블을 뺐다가 다시 연결하여 LED가 켜지는 것을 확인 하고, LCD 화면에서 후방 카메라 영상을 확인합니다.
LCD 화면 터치시 전방/후방 영상이 전환되어 표시됩니다. 개선되지 않는다면 장착점 점검이 필요합니다.
  ACC OFF 상태
차량 시동을 걸어 LCD 화면에서 후방 카메라 영상을 확인합니다. LCD 화면 터치시 전방/후방 영상이 전환되어 표시됩니다. 개선되지 않는다면 장착점 점검이 필요합니다."
FAQ,"31. Dashcam LCD에 전방 카메라 영상은 표시되나, 후방 카메라 영상은 표시되지 않습니다.","1. 메인메뉴 > 녹화설정 > 채널 > ""전방+후방""으로 설정되어 있는지 확인하십시오. ""전방만""으로 설정되어 있는 경우 1채널로 전방만 녹화되며, 후방 카메라의 Safety LED도 꺼져있는것이 정상 동작입니다.

2. (펌웨어 버전 1.03 이하인 경우) 메인메뉴 > 녹화설정 > 상시녹화 > 녹화기능 > ""스포츠""로 설정되어 있는지 확인하십시오. ""스포츠""로 설정되어 있는 경우 1채널로 전방만 녹화되며, 후방 카메라의 Safety LED도 꺼져있는것이 정상 동작입니다. ""전방+후방""으로 녹화를 원하시는 경우 ""표준"" 또는 ""충격만""으로 설정하여 사용하십시오.

3. ""전방+후방""으로 채널 설정이 되어 있는데도 후방 카메라 영상이 표시되지 않는다면 후방 카메라의 Safety LED를 확인하십시오. Safety LED가 꺼져 있다면 후방 카메라의 케이블을 뺐다가 다시 연결한 뒤  후방 카메라 영상을 확인합니다. LCD 화면 터치시 전방/후방 영상이 전환되어 표시됩니다.
개선되지 않는다면 장착점 점검이 필요합니다."
FAQ,"32. 영상 녹화는 정상적으로 되나 Dashcam에서 터치음, 녹화 시작 멘트 등 아무런 소리가 안 납니다.","전방 카메라 확인
음량 설정이 ""0""으로 설정(라이브뷰 > 음량 확인)되어 있는지 확인하십시오. 
음량을 올려도 아무 소리가 나지 않는다면 스피커 관련 문제로 추정됩니다. 전방 카메라 교체하여
정상작동되는지 확인하십시오."
FAQ,"33. 영상 녹화는 정상적으로 되나 Dashcam에서 터치음, 녹화 시작 멘트 등 소리에 잡음이 생깁니다.","전방 카메라 확인
스피커 소리 출력시 지지직거리는 잡음이 생긴다면 전방 카메라를 교체하여 정상작동되는지
확인하십시오."
FAQ,34. 차량 시동을 꺼도 Dashcam이 주차모드로 진입하지 않습니다.,"주차모드는 시동을 끈 후 도어를 닫은 상태에서 도어 Lock을 하고 1~3분(차종에 따라 차이가 있음) 뒤
주차모드로 진입합니다. 이후, 도어 Unlock시에는 시동여부와 관계 없이 주차모드에서 주행모드로
전환됩니다."
FAQ,35. 시동이 켜진 상태(상시모드)에서 충격 감지가 잘되지 않습니다.,"충격감도 설정을 확인하십시오.
녹화설정 > 상시녹화 > 충격감도 > 아주민감 / 민감 / 중간 / 둔감 / 아주둔감  / 끔 설정이 가능합니다."
FAQ,36. 시동이 꺼진 상태(주차모드)에서 충격 감지가 잘되지 않습니다.,"충격감도 설정을 확인하십시오.
녹화설정 > 주차녹화 > 충격감도 > 최고민감 / 아주민감 / 민감 / 중간 / 둔감 / 아주둔감 설정이 가능합니다. 
  참고
최고민감은 펌웨어 버전 1.05부터 지원합니다."
FAQ,37. 시동이 켜진 상태(상시모드)에서 충격감지가 안됩니다.,"녹화설정 > 상시녹화 > 충격감도 설정이 ""끔""으로 설정되어 있는지 확인하십시오. 충격감도가 꺼져 있으면,
충격감지가 되지 않으며, 충격녹화도 되지 않습니다.
  녹화설정 > 상시녹화 > 녹화기능 설정이 ""스포츠""로 설정되어 있는지 확인하십시오. ""스포츠""모드 설정 시
충격감지가 되지 않으며, 충격녹화도 되지 않습니다.
  음량 설정을 확인하십시오. 음량 설정이 ""0""인 경우 충격이 발생하여도 비프음(""삐비빅"")이 발생하지 않습니다. 단, 충격이 인식된 경우 Status LED가 주황색으로 점멸합니다."
FAQ,38. 시동이 꺼진 상태(주차모드)에서 충격감지가 안됩니다.,"녹화설정 > 주차녹화 > 녹화기능 설정이 ""끔""으로 설정되어 있는지 확인하십시오.
  시동을 켠 후 음량 설정을 확인하십시오. 음량 설정이 ""0""인 경우 충격이 발생하여도 비프음(""삐비빅"")이 발생하지 않습니다. 단, 충격이 인식된 경우 Status LED가 주황색으로 점멸합니다."
FAQ,39. 시동이 켜진 상태(상시모드)에서 찾는 녹화 파일이 없습니다.,"SD card 용량이 가득차면 오래된 파일 순서로 자동으로 삭제되며 새로운 녹화 파일이 생성됩니다.
따라서 지난 녹화 파일은 없을 수 있습니다.
  참고
64GB SD카드 기본주행 연속 녹화파일은 약 2시간(1시간50분)뒤에 오래된 파일 순서로 주행 연속 녹화파일이 자동 삭제되며, 주행 이벤트 녹화파일은 최대 35개 까지 보장 됩니다.
  DRIVING 폴더내에 생성된 파일은 차량의 시동을 걸고 녹화된 파일들이며, 년월일_시분초D.MP4 또는
년월일_E.MP4의 파일명으로 생성됩니다. (1분/330Mbyte)
예) ACC ON 뒤 녹화된 파일 : 20220304_111011D.MP4
예) ACC ON 뒤 충격발생하여 녹화된 파일 : 20220304_110947E.MP4
  SD card 전체 용량의 약 80%는 DRIVING 폴더에 할당되어 있으며, 이중 25%는 충격 녹화 파일에 할당되어 있습니다. 따라서 E.MP4 파일이 D.MP4 파일보다 더 오래 전 파일이라 할지라도 E.MP4 파일은 남아있고, D.MP4 파일은 없을 수 있습니다."
FAQ,40. 상시모드 > 스포츠 모드가 무엇인가요?,"스포츠 모드 녹화는 주행 영상을 디테일하게 녹화할 수 있는 기능이며, 스포츠 모드 녹화 시에는 이벤트 녹화가 되지 않습니다. 
스포츠 모드 설정시 UHD에서 QHD로 해상도가 변경되어 재부팅이 필요합니다. 
스포츠 모드는 펌웨어 버전 1.03부터 전방, 전방+후방 두 가지 모드로 사용할 수 있으며, 이전 버전에서는 전방 녹화만 사용할 수 있습니다.
전방, 전방+후방 설정에 따른 해상도 및 FPS, Bitrate은 아래 표를 참조하시기 바랍니다.
  녹화 모드 채널 옵션 전방 채널 후방 채널
해상도 fps Mbps 해상도 fps Mbps
표준 / 충격만 전방 UHD 3840X2160 30 24 N/A
전방+후방 UHD 3840X2160 30 24 QHD 2560X1440 30 12
스포츠 전방 QHD 2560X1440 60 36 N/A
전방+후방 QHD 2560X1440 60 24 QHD 2560X1440 30 12"
FAQ,41. 녹화시간이 너무 짧습니다.,"HDR 기능을 켬과 동시에 화질이 UHD에서 QHD로 변경됨에 따라 파일 용량이 줄어들어 녹화 시간이 늘어날 수 있습니다.  또한, HDR 기능을 사용하여 저조도에서의 영상화질을 개선할 수 있습니다.
  HDR 설정은 메인 메뉴 > 녹화 설정 > HDR 끔/켬 에서 설정할 수 있습니다.
상세 내용은 아래 표를 참조하시기 바랍니다.
    저장 영역 표준 & 스포츠 모드 HDR 설정 시
파일당
녹화 시간
Micro SD 카드 용량 64GB      
실제 저장 총 용량 (100%) 59GB System files 5GB    
주행
(80%)
연속 녹화 35.4GB 최대 107개 파일 / 107분 168개 / 168분 1분
이벤트 녹화 11.8GB 보장 35개 파일 / 35분 56개 / 56분
주차
(20%)
모션 모니터링 녹화 8.9GB 최대 84개 파일 / 28분 127개 / 42분 20초
이벤트 녹화 2.9GB 보장 26개 파일 / 8분 42개 / 13분
    ※ 스포츠 모드에서는 HDR 항목이 비활성화되어 사용이 불가합니다.
  참고
1. QHD+HDR 변경 시 주행 연속 녹화시간이 약 2시간(1시간50분) 에서 약 3시간(2시간 50분)정도로 늘어나고, 주차 모션 녹화시간은 약 30분에서 약 45분으로 늘어납니다.
2. HDR 기능을 켬과 동시에 화질이 UHD에서 QHD로 변경됨에 따라 SD Card 포맷이 필요합니다.
따라서 SD Card내의 중요한 데이터는 꼭 백업해 두시기 바랍니다.
HDR 기능은 펌웨어 버전 1.06 부터 지원하며 HDR 기본 설정은 OFF로 설정되어 있습니다."
FAQ,42. Dashcam에서 녹화 파일을 재생하고 싶습니다.,메인 메뉴 > 녹화 영상 > 상시/주차/이벤트/사진 탭에서 재생하고자 하는 파일을 선택하십시오.
FAQ,"43. 녹화 파일명 끝에 ""D, E, M""의 의미가 무엇인가요?","녹화 파일명 끝에 ""D, E, M""의 의미는 다음과 같습니다.
  연월일_시분초D.MP4 : 주행 중 저장된 파일
연월일_시분초E.MP4 : 주행 또는 주차 중 충격발생으로 저장된 파일, 수동 녹화된 파일
연월일_시분초M.MP4 : 주차 중 모션(움직임)감지로 저장된 파일"
FAQ,44. PC에서 녹화 영상을 확인하고 싶습니다.,"Mercedes-Benz Drive View 전용 뷰어를 PC에 다운로드 받아 설치하여 사용하십시오.
아래 링크에서 전용 뷰어를 다운로드 할 수 있습니다.
  http://www.mb-driveview-warranty.com/download
(주의) 휴대폰이 아닌 PC에서 전용 뷰어를 다운로드 하여 설치하여 주십시오."
FAQ,45. 수동 녹화는 어떻게 하나요?,"전원 버튼 옆에 Menu 버튼을 짧게 누르면 ""띠디딕"" 비프음이 발생하며, 수동녹화가 시작되며 Status LED가 황색으로 깜빡거립니다. 수동녹화된 파일은 DRIVING/PARKING 폴더에 년월일_시분초E.MP4로 저장됩니다."
FAQ,46. 사진 캡쳐는 어떻게 하나요?,"전원 버튼 옆에 버튼을 3초 이상 길게 누르면 ""찰칵"" 비프음이 발생하며 사진 캡쳐가 됩니다.
캡쳐된 사진은 IMAGE 폴더에 저장됩니다."
FAQ,47. DRIVING 폴더에 찾는 녹화 파일이 없습니다.,"1. SD card 용량이 가득차면 오래된 파일 순서로 자동으로 삭제되며 새로운 녹화 파일이 생성됩니다. 따라서 지난 녹화 파일은 없을 수 있습니다.

2. DRIVING 폴더내에 생성된 파일은 차량의 시동을 걸고 녹화된 파일들이며, 년월일_시분초D.MP4 또는 년월일_E.MP4의 파일명으로 생성됩니다.
예) ACC ON 뒤 녹화된 파일 : 20220304_111011D.MP4
예) ACC ON 뒤 충격발생하여 녹화된 파일 : 20220304_110947E.MP4

3. SD card 전체 용량의 약 80%는 DRIVING 폴더에 할당되어 있으며, 이중 25%는 충격 녹화 파일에 할당되어 있습니다. 따라서 E.MP4 파일이 D.MP4 파일보다 더 오래 전 파일이라 할지라도 E.MP4 파일은 남아있고, D.MP4 파일은 없을 수 있습니다."
FAQ,48. DRIVING 폴더에 녹화 파일이 몇개 없습니다.,"메인메뉴 > 녹화설정 > 상시녹화 > 녹화기능이 ""충격만""으로 설정되어있는지 확인하십시오.
녹화기능이 ""충격만""으로 설정되어있는 경우 충격이 발생한 경우에만 녹화 되어 일반적인 주행 녹화 파일이 저장되지 않습니다."
FAQ,49. DRIVING 폴더에 충격 녹화 파일이 없습니다.,"메인메뉴 > 녹화설정 > 상시녹화 > 녹화기능이 ""스포츠""로 설정되어있는지 확인하십시오.
녹화기능이 ""스포츠""로 설정되어있는 경우 전방 화면만 녹화되며, 충격 발생시에도 충격 녹화 파일이 저장되지 않습니다."
FAQ,"50. DRIVING 폴더에 이전 영상은 있으나, 최근 영상이 없습니다.","SD card가 쓰기금지 불량이 발생한 경우 녹화 파일이 저장되지 않으며, PC에서도 SD format이 진행되지 않습니다. 이 경우에는 SD card 교체가 필요합니다.

(주의) SD Card format시 녹화된 파일은 모두 삭제되오니 중요한 파일은 미리 백업해두시기 바랍니다. 정품 SD Card가 아닌 경우 품질 보증을 적용 받을 수 없습니다. 정품 SD Card 사용을 권장합니다."
FAQ,51. PARKING 폴더에 찾는 녹화 파일이 없습니다.,"1. SD card 용량이 가득차면 오래된 파일 순서로 자동으로 삭제되며 새로운 녹화 파일이 생성됩니다. 따라서 지난 녹화 파일은 없을 수 있습니다.

2. PARKING 폴더내에 생성된 파일은 차량의 시동을 끈 뒤 녹화된 파일들이며, 년월일_시분초M.MP4 또는 년월일_E.MP4의 파일명으로 생성됩니다.
예) ACC OFF 뒤 모션(움직임)에 발생하여 녹화된 파일 : 
예) ACC OFF 뒤 충격발생하여 녹화된 파일 : 20220304_110947E.MP4

3. SD card 전체 용량의 약 20%는 PARKING 폴더에 할당되어 있으며, 이중 25%는 충격 녹화 파일에 할당되어 있습니다. 따라서 E.MP4 파일이 M.MP4 파일보다 더 오래 전 파일이라 하여도 E.MP4 파일은 남아있고, M.MP4 파일은 없을 수 있습니다."
FAQ,52. PARKING 폴더에 녹화 파일이 없습니다.,"메인메뉴 > 녹화설정 > 주차녹화 > 녹화기능이 ""끔""으로 설정되어있는지 확인하십시오.
녹화기능이 ""끔""으로 설정되어있는 경우 차량의 시동을 끄면 Dashcam의 전원이 종료되어 모션(움직임),
충격 발생이 되어도 녹화 파일은 저장되지 않습니다."
FAQ,53. PARKING 폴더에 녹화 파일이 몇개 없습니다.,"메인메뉴 > 녹화설정 > 주차녹화 > 모션감도가 ""끔""으로 설정되어있는지 확인하십시오.
모션감도가 ""끔""으로 설정되어있는 경우 충격이 발생한 경우에만 녹화가 되어 모션(움직임)이 감지되어도 녹화 파일이 저장되지 않습니다."
FAQ,54. PARKING 폴더에 이전 영상은 있으나 최근영상이 없습니다.,"SD card가 쓰기금지 불량이 발생한 경우 녹화 파일이 저장되지 않으며, PC에서도 SD format이 진행되지 않습니다. 이 경우에는 SD card 교체가 필요합니다.

(주의) SD Card format시 녹화된 파일은 모두 삭제되오니 중요한 파일은 미리 백업해두시기 바랍니다. 정품 SD Card가 아닌 경우 품질 보증을 적용 받을 수 없습니다. 정품 SD Card 사용을 권장합니다."
